nhs_trust_name,acute,non_acute,ambulance_trust,closed_disbanded_merged,dexa_count_2223,dexa_count_2324,dexa_count_2425,fls_total,cdc_total,nnhip_total
Northampton General Hospital NHS Trust,1,0,0,0,1.0,1.0,1.0,0,2,0
Northamptonshire Healthcare NHS Foundation Trust,0,1,0,0,0.0,0.0,0.0,0,0,0
Northern Care Alliance NHS Foundation Trust,1,0,0,0,2.0,2.0,2.0,2,2,1
Northern Lincolnshire and Goole NHS Foundation Trust,1,0,0,0,1.0,1.0,1.0,1,2,1
Northumbria Healthcare NHS Foundation Trust,1,0,0,0,2.0,2.0,2.0,1,0,0
Nottingham University Hospitals NHS Trust,1,0,0,0,4.0,4.0,4.0,1,1,1
Nottinghamshire Healthcare NHS Foundation Trust,0,1,0,0,0.0,0.0,0.0,0,0,1
Oxford Health NHS Foundation Trust,1,0,0,0,0.0,0.0,0.0,0,0,0
Oxford University Hospitals NHS Foundation Trust,0,1,0,0,0.0,1.0,1.0,1,1,0
Oxleas NHS Foundation Trust,0,1,0,0,0.0,0.0,0.0,0,0,0
Pennine Care NHS Foundation Trust,0,1,0,0,0.0,0.0,0.0,1,0,2
Portsmouth Hospitals University NHS Trust,0,0,0,0,0.0,0.0,0.0,1,3,1
Queen Victoria Hospital NHS Foundation Trust,1,0,0,0,0.0,0.0,1.0,0,1,0
Rotherham Doncaster and South Humber NHS Foundation Trust,0,1,0,0,0.0,0.0,0.0,0,0,0
Royal Berkshire NHS Foundation Trust,1,0,0,0,0.0,0.0,1.0,1,2,0
Royal Brompton and Harefield NHS Foundation Trust,0,0,0,1,0.0,0.0,0.0,0,0,0
Royal Cornwall Hospitals NHS Trust,1,0,0,0,1.0,2.0,2.0,1,3,1
Royal Devon University Healthcare NHS Foundation Trust,1,0,0,0,2.0,2.0,2.0,0,1,0
Royal Free London NHS Foundation Trust,1,0,0,0,2.0,2.0,2.0,1,1,0
Royal National Orthopaedic Hospital NHS Trust,1,0,0,0,1.0,1.0,1.0,0,0,0
Royal Papworth Hospital NHS Foundation Trust,1,0,0,0,1.0,1.0,1.0,0,0,0
Royal Surrey NHS Foundation Trust,0,0,0,0,0.0,0.0,0.0,1,1,0
Royal United Hospitals Bath NHS Foundation Trust,1,0,0,0,0.0,0.0,0.0,1,1,0
Salisbury NHS Foundation Trust,1,0,0,0,1.0,1.0,1.0,0,1,0
Sandwell and West Birmingham Hospitals NHS Trust,1,0,0,0,0.0,0.0,1.0,0,0,0
Sheffield Children’s NHS Foundation Trust,1,0,0,0,0.0,0.0,0.0,0,0,0
Sheffield Health and Social Care NHS Foundation Trust,0,0,0,0,0.0,0.0,0.0,0,0,0
Sheffield Teaching Hospitals NHS Foundation Trust,1,0,0,0,0.0,0.0,0.0,0,0,0
Sherwood Forest Hospitals NHS Foundation Trust,1,0,0,0,0.0,0.0,1.0,1,1,0
Shrewsbury and Telford Hospital NHS Trust,0,0,0,0,0.0,0.0,0.0,1,1,1
Shropshire Community Health NHS Trust,0,1,0,0,0.0,0.0,0.0,0,0,1
Solent NHS Trust,0,0,0,1,0.0,0.0,0.0,0,0,1
Somerset NHS Foundation Trust,0,0,0,0,2.0,3.0,2.0,2,6,0
South Central Ambulance Service NHS Foundation Trust,0,0,1,0,0.0,0.0,0.0,0,0,0
South East Coast Ambulance Service NHS Foundation Trust,0,0,1,0,0.0,0.0,0.0,0,0,0
South London and Maudsley NHS Foundation Trust,0,1,0,0,0.0,0.0,0.0,0,0,2
South Tees Hospitals NHS Foundation Trust,1,0,0,0,0.0,1.0,1.0,1,2,0
South Tyneside and Sunderland NHS Foundation Trust,1,0,0,0,1.0,2.0,2.0,1,0,1
South Warwickshire NHS Foundation Trust,0,0,0,0,2.0,2.0,0.0,0,1,0
South West London and St George’s Mental Health NHS Trust,0,1,0,0,0.0,0.0,0.0,0,0,0
South West Yorkshire Partnership NHS Foundation Trust,0,1,0,0,0.0,0.0,0.0,0,0,0
South Western Ambulance Service NHS Foundation Trust,0,0,1,0,0.0,0.0,0.0,0,0,0
Southport and Ormskirk Hospital NHS Trust,0,0,0,1,1.0,1.0,0.0,0,0,0
St George’s University Hospitals NHS Foundation Trust,1,0,0,0,0.0,0.0,0.0,1,1,0
St Helens and Knowsley Teaching Hospitals NHS Trust,0,0,0,1,0.0,0.0,0.0,0,0,1
Stockport NHS Foundation Trust,1,0,0,0,1.0,1.0,1.0,1,0,1
Surrey and Borders Partnership NHS Foundation Trust,0,1,0,0,0.0,0.0,0.0,0,0,0
Surrey and Sussex Healthcare NHS Trust,1,0,0,0,1.0,1.0,1.0,1,2,1
Sussex Community NHS Foundation Trust,0,1,0,0,0.0,0.0,0.0,0,1,0
Sussex Partnership NHS Foundation Trust,0,1,0,0,0.0,0.0,0.0,0,0,0
Tameside and Glossop Integrated Care NHS Foundation Trust,1,0,0,0,0.0,0.0,1.0,0,1,0
Tavistock and Portman NHS Foundation Trust,0,1,0,0,0.0,0.0,0.0,0,0,0
"Tees, Esk and Wear Valleys NHS Foundation Trust",0,1,0,0,0.0,0.0,0.0,0,0,1
The Christie NHS Foundation Trust,1,0,0,0,1.0,1.0,1.0,0,0,0
The Clatterbridge Cancer Centre NHS Foundation Trust,1,0,0,0,0.0,0.0,0.0,0,3,0
The Dudley Group NHS Foundation Trust,1,0,0,0,0.0,0.0,0.0,0,3,0
The Hillingdon Hospitals NHS Foundation Trust,1,0,0,0,0.0,0.0,0.0,1,0,1
The Newcastle Upon Tyne Hospitals NHS Foundation Trust,1,0,0,0,3.0,3.0,4.0,0,0,0
The Princess Alexandra Hospital NHS Trust,1,0,0,0,0.0,0.0,0.0,0,2,1
"The Queen Elizabeth Hospital, King’s Lynn, NHS Foundation Trust",1,0,0,0,0.0,0.0,0.0,1,1,0
The Robert Jones and Agnes Hunt Orthopaedic Hospital NHS Foundation Trust,1,0,0,0,0.0,0.0,0.0,0,0,1
The Rotherham NHS Foundation Trust,1,0,0,0,1.0,1.0,1.0,1,1,1
The Royal Marsden NHS Foundation Trust,1,0,0,0,1.0,1.0,1.0,0,0,0
The Royal Orthopaedic Hospital NHS Foundation Trust,1,0,0,0,0.0,0.0,0.0,0,0,0
The Royal Wolverhampton NHS Trust,1,0,0,0,0.0,0.0,0.0,1,1,0
The Walton Centre NHS Foundation Trust,1,0,0,0,0.0,0.0,0.0,0,0,0
Torbay and South Devon NHS Foundation Trust,1,0,0,0,0.0,0.0,1.0,0,1,0
United Lincolnshire Hospitals NHS Trust,1,0,0,0,2.0,3.0,0.0,0,3,0
University College London Hospitals NHS Foundation Trust,1,0,0,0,1.0,1.0,1.0,0,0,0
University Hospital Southampton NHS Foundation Trust,1,0,0,0,0.0,3.0,3.0,1,0,0
University Hospitals Birmingham NHS Foundation Trust,1,0,0,0,3.0,4.0,4.0,1,3,2
University Hospitals Bristol and Weston NHS Foundation Trust,1,0,0,0,2.0,2.0,2.0,2,1,2
University Hospitals Coventry and Warwickshire NHS Trust,1,0,0,0,1.0,1.0,1.0,0,0,1
University Hospitals Dorset NHS Foundation Trust,1,0,0,0,1.0,2.0,2.0,1,0,0
University Hospitals Plymouth NHS Trust,1,0,0,0,2.0,2.0,2.0,0,1,0
University Hospitals Sussex NHS Foundation Trust,1,0,0,0,0.0,0.0,0.0,0,3,0
University Hospitals of Derby and Burton NHS Foundation Trust,1,0,0,0,2.0,2.0,2.0,1,4,0
University Hospitals of Leicester NHS Trust,1,0,0,0,0.0,0.0,0.0,0,2,1
University Hospitals of Morecambe Bay NHS Foundation Trust,1,0,0,0,1.0,1.0,1.0,0,3,1
University Hospitals of North Midlands NHS Trust,1,0,0,0,0.0,0.0,0.0,0,1,0
Walsall Healthcare NHS Trust,1,0,0,0,0.0,0.0,0.0,1,0,1
Warrington and Halton Teaching Hospitals NHS Foundation Trust,1,0,0,0,0.0,0.0,1.0,0,2,0
West Hertfordshire Hospitals NHS Trust,0,0,0,0,0.0,0.0,0.0,0,2,1
West London NHS Trust,0,1,0,0,0.0,0.0,0.0,1,0,0
West Midlands Ambulance Service NHS Foundation Trust,0,0,1,0,0.0,0.0,0.0,0,0,0
West Suffolk NHS Foundation Trust,1,0,0,0,0.0,0.0,0.0,1,1,1
Whittington Health NHS Trust,1,0,0,0,1.0,1.0,1.0,0,1,0
Wirral Community NHS Foundation Trust,0,0,0,0,0.0,0.0,0.0,0,0,0
Wirral University Teaching Hospital NHS Foundation Trust,1,0,0,0,1.0,1.0,1.0,0,0,0
Worcestershire Acute Hospitals NHS Trust,1,0,0,0,1.0,1.0,0.0,0,1,0
"Wrightington, Wigan and Leigh NHS Foundation Trust",1,0,0,0,1.0,1.0,1.0,1,1,0
Wye Valley NHS Trust,1,0,0,0,1.0,1.0,1.0,1,1,1
York and Scarborough Teaching Hospitals NHS Foundation Trust,1,0,0,0,0.0,0.0,2.0,0,3,0
Yorkshire Ambulance Service NHS Trust,0,0,1,0,0.0,0.0,0.0,0,0,0
