CDC Approved Site List 10.11.25,,,,,,,,,,,
Region,ICB,CDC ODS site code,Name of CDC,Host Trust ,Updated NHS Trust name,CDC Trust Code, CDC Archetype,Location,Post code for Permanent Approved Site,Lat,Lon
NE&Y,Humber and North Yorkshire ICB,V4E5F,Selby War Memorial CDC,York and Scarborough Teaching Hospitals NHS Foundation Trust ,York and Scarborough Teaching Hospitals NHS Foundation Trust,RCB,Spoke,Selby,YO8 9BX,53.77749,-1.07834
NE&Y,North East & North Cumbria ICB,L9O2S,Tees Valley CDC,North Tees Hospitals NHS Foundation Trust,North Tees and Hartlepool NHS Foundation Trust,RVW,Standard,Stockton,TS18 1AF,54.56234,-1.31217
NE&Y,West Yorkshire ICB,A8U6L,Wakefield CDC,Mid Yorkshire Hospital NHS Trust ,Mid Yorkshire Hospitals NHS Trust,RXF,Standard,Wakefield,WF2 9SD,53.67876,-1.50593
NE&Y,North East & North Cumbria ICB,05D0C,Workington CDC ,North Cumbria Integrated Care NHS Foundation Trust,North Cumbria Integrated Care NHS Foundation Trust,RNN,Standard,Workington,CA14 3GS,54.64322,-3.54724
NW,Greater Manchester ICB,B2T1M,Bolton CDC,Bolton NHS Foundation Trust,Bolton NHS Foundation Trust,RMC,Standard,Bolton,BL4 0JR,53.55397,-2.42989
NW,Lancashire & South Cumbria ICB,D8W9Q,Burnley CDC,East Lancashire NHS Trust,East Lancashire Hospitals NHS Trust,RXR,Spoke,Burnley,BB10 2PQ,53.81044,-2.22788
NW,Cheshire & Merseyside ICB,L1T8W,Clatterbridge Diagnostics CDC,Clatterbridge Cancer Centre NHS Foundation Trust,The Clatterbridge Cancer Centre NHS Foundation Trust,REN,Standard,Wirral,CH63 4JY,53.33288,-3.02414
NW,Cheshire & Merseyside ICB,X4D6V,Congleton War Memorial CDC,East Cheshire NHS Trust,East Cheshire NHS Trust,RJN,Spoke,Congleton,CW12 3AR,53.15803,-2.20268
NW,Lancashire & South Cumbria ICB,J3K7B,Crossland CDC,University Hospitals of Morecambe Bay NHS Foundation Trust,University Hospitals of Morecambe Bay NHS Foundation Trust,RTX,Spoke,Barrow-in-Furness,LA14 4LF,54.13639,-3.20788
NW,Cheshire & Merseyside ICB,H9M2X,Ellesmere Port CDC,Countess of Chester Hospital NHS FT,Countess of Chester Hospital NHS Foundation Trust,RJR,Spoke,Ellesmere Port,CH65 6SG,53.26779,-2.91104
NW,Lancashire & South Cumbria ICB,E4G7W,Fleetwood CDC,Blackpool Teaching Hospitals NHS Foundation Trust,Blackpool Teaching Hospitals NHS Foundation Trust,RXL,Spoke,Fleetwood,FY7 6HP,53.92096,-3.01042
NW,Lancashire & South Cumbria ICB,P6E9C,Heysham CDC,University Hospitals of Morecambe Bay NHS Foundation Trust,University Hospitals of Morecambe Bay NHS Foundation Trust,RTX,Spoke,Heysham,LA3 2AE,54.05238,-2.884
NW,Greater Manchester ICB,Q7E3E,Leigh CDC,"Wrightington, Wigan and Leigh NHS Foundation Trust","Wrightington, Wigan and Leigh NHS Foundation Trust",RRF,Standard,Leigh,WN7 1HS,53.504,-2.512
NW,Cheshire & Merseyside ICB,C4K0X,Liverpool Womens CDC,Clatterbridge Cancer Centre NHS Foundation Trust,The Clatterbridge Cancer Centre NHS Foundation Trust,REN,Spoke,Liverpool,L8 7SS,53.39846,-2.95998
NW,Greater Manchester ICB,I7N9A,Manchester and Trafford CDC,Manchester University NHS Foundation Trust,Manchester University NHS Foundation Trust,R0A,Standard,Withington,M20 2LR,53.42522,-2.24522
NW,Greater Manchester ICB,I5K7X,North Manchester CDC,Manchester University NHS Foundation Trust,Manchester University NHS Foundation Trust,R0A,Spoke,Harpurhey,M9 4DA,53.51273,-2.20918
NW,Greater Manchester ICB,J7J7S,Northern Care Alliance CDC - Oldham,Northern Care Alliance NHS Foundation Trust,Northern Care Alliance NHS Foundation Trust,RM3,Large,Oldham,OL2 6JG,53.5604,-2.10538
NW,Greater Manchester ICB,J5I2J,Northern Care Alliance CDC - Salford,Northern Care Alliance NHS Foundation Trust,Northern Care Alliance NHS Foundation Trust,RM3,Spoke,Salford,M30 0AY,53.48472,-2.33296
NW,Cheshire & Merseyside ICB,K2D8R,Paddington CDC,Clatterbridge Cancer NHS Foundation Trust,The Clatterbridge Cancer Centre NHS Foundation Trust,REN,Spoke,Liverpool,L7 3EW,53.40402,-2.95791
NW,Lancashire & South Cumbria ICB,K6A3N,Preston Healthport CDC,Lancashire Teaching Hospitals NHS Foundation Trust,Lancashire Teaching Hospitals NHS Foundation Trust,RXN,Standard,Preston,PR2 8DW,53.77927,-2.70459
